"","file.number","day","hms","file.directory"
"257","2617","2023-07-12","00:54:10","Distance experiment/FLIR2617.jpg"
"258","2618","2023-07-12","00:54:18","Distance experiment/FLIR2618.jpg"
"259","2619","2023-07-12","00:54:30","Distance experiment/FLIR2619.jpg"
"260","2620","2023-07-12","00:54:38","Distance experiment/FLIR2620.jpg"
"261","2621","2023-07-12","00:54:48","Distance experiment/FLIR2621.jpg"
"262","2622","2023-07-12","00:56:20","Distance experiment/FLIR2622.jpg"
"263","2623","2023-07-12","00:56:24","Distance experiment/FLIR2623.jpg"
"264","2624","2023-07-12","00:56:28","Distance experiment/FLIR2624.jpg"
"265","2625","2023-07-12","00:56:34","Distance experiment/FLIR2625.jpg"
"266","2626","2023-07-12","00:56:38","Distance experiment/FLIR2626.jpg"
"267","2627","2023-07-12","00:56:46","Distance experiment/FLIR2627.jpg"
"268","2628","2023-07-12","00:56:54","Distance experiment/FLIR2628.jpg"
"269","2629","2023-07-12","00:57:00","Distance experiment/FLIR2629.jpg"
"270","2630","2023-07-12","00:57:10","Distance experiment/FLIR2630.jpg"
"271","2631","2023-07-12","00:57:48","Distance experiment/FLIR2631.jpg"
"272","2632","2023-07-12","00:57:52","Distance experiment/FLIR2632.jpg"
"273","2633","2023-07-12","00:57:56","Distance experiment/FLIR2633.jpg"
"274","2634","2023-07-12","00:58:00","Distance experiment/FLIR2634.jpg"
"275","2635","2023-07-12","00:58:04","Distance experiment/FLIR2635.jpg"
"276","2636","2023-07-12","00:58:10","Distance experiment/FLIR2636.jpg"
"277","2637","2023-07-12","00:58:16","Distance experiment/FLIR2637.jpg"
"278","2638","2023-07-12","00:58:22","Distance experiment/FLIR2638.jpg"
"279","2639","2023-07-12","00:58:34","Distance experiment/FLIR2639.jpg"
"280","2640","2023-07-12","00:59:06","Distance experiment/FLIR2640.jpg"
"281","2641","2023-07-12","00:59:10","Distance experiment/FLIR2641.jpg"
"282","2642","2023-07-12","00:59:14","Distance experiment/FLIR2642.jpg"
"283","2643","2023-07-12","00:59:18","Distance experiment/FLIR2643.jpg"
"284","2644","2023-07-12","00:59:26","Distance experiment/FLIR2644.jpg"
"285","2645","2023-07-12","00:59:32","Distance experiment/FLIR2645.jpg"
"286","2646","2023-07-12","00:59:38","Distance experiment/FLIR2646.jpg"
"287","2647","2023-07-12","00:59:44","Distance experiment/FLIR2647.jpg"
"288","2648","2023-07-12","00:59:54","Distance experiment/FLIR2648.jpg"
"289"," photos","2023-07-26","00:50:08","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3208.jpg"
"290"," photos","2023-07-26","10:23:19","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3209.jpg"
"291"," photos","2023-07-26","00:50:40","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3210.jpg"
"292"," photos","2023-07-26","00:50:54","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3211.jpg"
"293"," photos","2023-07-26","00:51:22","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3212.jpg"
"294"," photos","2023-07-26","00:51:52","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3213.jpg"
