"","ID","Side","Body.Part","Photo","Time","Page","Meta","Shape","Temp","report.file","path","date.retrieved","temperature.in.c","Left.Side","Right.Side","Inner.Ear","Outer.Ear","Eye","Flank"
"50","P03","Unknown - Please Specify","Eye","FLIR3792.jpg",2023-07-29 07:46:53,6,"P03 eyes","El2","33,8 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,33.8,0,0,0,0,1,0
"51","P12","Unknown - Please Specify","Eye","FLIR3777.jpg",2023-07-29 07:42:06,7,"P12 eyes","El1","33,4 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,33.4,0,0,0,0,1,0
"52","P12","Unknown - Please Specify","Eye","FLIR3777.jpg",2023-07-29 07:42:06,7,"P12 eyes","El2","33,4 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,33.4,0,0,0,0,1,0
"53","Y02","Unknown - Please Specify","Eye","FLIR3872.jpg",2023-07-29 08:23:22,8,"Y02 eyes","El1","35,7 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,35.7,0,0,0,0,1,0
"54","Y02","Unknown - Please Specify","Eye","FLIR3872.jpg",2023-07-29 08:23:22,8,"Y02 eyes","El2","35,9 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,35.9,0,0,0,0,1,0
"55","Y04","Unknown - Please Specify","Eye","FLIR3824.jpg",2023-07-29 07:59:51,9,"Y04 eyes","El1","33,1 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,33.1,0,0,0,0,1,0
"56","Y04","Unknown - Please Specify","Eye","FLIR3824.jpg",2023-07-29 07:59:51,9,"Y04 eyes","El2","33,1 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,33.1,0,0,0,0,1,0
"57","Unknown - Please Specify","Unknown - Please Specify","Unknown - Please Specify","FLIR3878.jpg",2023-07-29 08:25:37,10,"","El1","35,5 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,35.5,0,0,0,0,0,0
"58","Unknown - Please Specify","Unknown - Please Specify","Unknown - Please Specify","FLIR3878.jpg",2023-07-29 08:25:37,10,"","El2","35,7 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,35.7,0,0,0,0,0,0
"59","Unknown - Please Specify","Unknown - Please Specify","Unknown - Please Specify","FLIR3845.jpg",2023-07-29 08:12:27,11,"","El1","34,0 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,34,0,0,0,0,0,0
